epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,209.42,3.06783,9.31519,0.84266,3.40907,3.57702,0.00583,0.5,0.02244,0.006,0,0,0,0,3.50591,11.0658,0.6446,3.69214,4.02994,0.000444448,0.000444448,0.000444448
70,211.799,3.22444,9.69799,0.82831,3.61597,3.58199,0.00583,0.5,0.02244,0.006,0,0,0,0,3.50591,11.0658,0.6446,3.69214,4.02994,0.000437322,0.000437322,0.000437322
71,213.928,2.91824,9.96564,0.7239,3.52487,3.70226,0.00583,0.5,0.02244,0.006,0,0,0,0,3.50591,11.0658,0.6446,3.69214,4.02994,0.0004298,0.0004298,0.0004298
72,215.984,3.13636,9.54363,0.91372,3.39701,3.50304,0.00583,0.5,0.02247,0.00595,0,0,0,0,3.50348,11.0612,0.64434,3.6937,4.03384,0.000421882,0.000421882,0.000421882
73,218.06,2.3141,9.70815,0.63249,3.20994,3.47568,0.00583,0.5,0.02247,0.00595,0,0,0,0,3.50348,11.0612,0.64434,3.6937,4.03384,0.000413568,0.000413568,0.000413568
74,220.122,2.9023,9.34347,0.74508,3.21158,3.58882,0.00583,0.5,0.02247,0.00595,0,0,0,0,3.50348,11.0612,0.64434,3.6937,4.03384,0.000404858,0.000404858,0.000404858
75,222.976,2.90853,8.5712,0.88434,3.40425,3.76999,0.00583,0.5,0.02251,0.00627,0,0,0,0,3.5,11.0624,0.64424,3.69511,4.03853,0.000395752,0.000395752,0.000395752
76,225.498,2.73145,9.4113,0.95648,3.27831,3.52646,0.00583,0.5,0.02251,0.00627,0,0,0,0,3.5,11.0624,0.64424,3.69511,4.03853,0.00038625,0.00038625,0.00038625
77,227.527,2.83207,9.61407,0.88812,3.39198,3.79059,0.00583,0.5,0.02251,0.00627,0,0,0,0,3.5,11.0624,0.64424,3.69511,4.03853,0.000376352,0.000376352,0.000376352
78,229.638,2.81183,9.40841,0.85299,3.48354,3.56682,0.00583,0.5,0.02205,0.00596,0,0,0,0,3.49792,11.0559,0.64425,3.69556,4.04456,0.000366058,0.000366058,0.000366058
79,231.595,2.92627,9.34554,1.00748,3.58815,3.88622,0.00583,0.5,0.02205,0.00596,0,0,0,0,3.49792,11.0559,0.64425,3.69556,4.04456,0.000355368,0.000355368,0.000355368
80,233.639,3.01189,9.27064,0.79249,3.52149,3.82515,0.00583,0.5,0.02205,0.00596,0,0,0,0,3.49792,11.0559,0.64425,3.69556,4.04456,0.000344282,0.000344282,0.000344282
81,235.698,2.87472,8.97019,0.82482,3.63724,3.72594,0.00583,0.5,0.02318,0.006,0,0,0,0,3.49461,11.0606,0.64466,3.6999,4.05458,0.0003328,0.0003328,0.0003328
82,238.025,2.78934,8.68848,0.85669,3.14724,3.50216,0.00583,0.5,0.02318,0.006,0,0,0,0,3.49461,11.0606,0.64466,3.6999,4.05458,0.000320922,0.000320922,0.000320922
83,240.829,2.89198,9.56534,0.7695,3.23927,3.67499,0.00583,0.5,0.02318,0.006,0,0,0,0,3.49461,11.0606,0.64466,3.6999,4.05458,0.000308648,0.000308648,0.000308648
84,243.35,3.24249,9.37171,0.82544,3.27461,3.59727,0.00583,0.5,0.02292,0.00606,0,0,0,0,3.49279,11.0746,0.64528,3.7058,4.06659,0.000295978,0.000295978,0.000295978
85,245.481,2.67098,8.92837,0.84666,3.31195,3.57905,0.00583,0.5,0.02292,0.00606,0,0,0,0,3.49279,11.0746,0.64528,3.7058,4.06659,0.000282912,0.000282912,0.000282912
86,247.593,2.81533,7.70204,0.88933,3.47709,3.76318,0.00583,0.5,0.02292,0.00606,0,0,0,0,3.49279,11.0746,0.64528,3.7058,4.06659,0.00026945,0.00026945,0.00026945
87,249.926,2.87064,9.14374,0.83862,3.38012,3.63856,0.00583,0.5,0.02292,0.00606,0,0,0,0,3.49279,11.0746,0.64528,3.7058,4.06659,0.000255592,0.000255592,0.000255592
88,252.622,2.73922,8.29307,0.85119,3.40496,3.64743,0.00583,0.5,0.02249,0.00547,0,0,0,0,3.49047,11.0832,0.6462,3.71481,4.08561,0.000241338,0.000241338,0.000241338
89,254.37,2.63236,9.05711,0.79489,3.09218,3.33498,0.00583,0.5,0.02249,0.00547,0,0,0,0,3.49047,11.0832,0.6462,3.71481,4.08561,0.000226688,0.000226688,0.000226688
90,256.591,2.77676,8.86177,0.84584,3.32955,3.62437,0.00583,0.5,0.02249,0.00547,0,0,0,0,3.49047,11.0832,0.6462,3.71481,4.08561,0.000211642,0.000211642,0.000211642
91,259.026,2.73744,9.1096,0.80917,3.81648,3.54325,0.00583,0.5,0.02249,0.00547,0,0,0,0,3.49047,11.0832,0.6462,3.71481,4.08561,0.0001962,0.0001962,0.0001962
92,261.349,2.35197,9.03677,0.75933,3.81525,3.50699,0.00583,0.5,0.02262,0.00553,0,0,0,0,3.48724,11.0739,0.64696,3.71885,4.09944,0.000180362,0.000180362,0.000180362
93,263.95,2.44831,8.93924,0.78284,3.84424,3.70932,0.00583,0.5,0.02262,0.00553,0,0,0,0,3.48724,11.0739,0.64696,3.71885,4.09944,0.000164128,0.000164128,0.000164128
94,266.06,2.43389,8.76514,0.75372,3.94332,3.6126,0.00583,0.5,0.02262,0.00553,0,0,0,0,3.48724,11.0739,0.64696,3.71885,4.09944,0.000147498,0.000147498,0.000147498
95,267.988,2.53156,8.57272,0.80442,3.74165,3.55394,0.00583,0.5,0.02262,0.00553,0,0,0,0,3.48724,11.0739,0.64696,3.71885,4.09944,0.000130472,0.000130472,0.000130472
96,270.527,2.59017,8.19561,0.77142,3.55998,3.4658,0.00667,0.57143,0.02344,0.00557,0,0,0,0,3.48292,11.0768,0.64733,3.72042,4.10162,0.00011305,0.00011305,0.00011305
97,272.764,2.50793,8.86619,0.81815,4.17265,3.14063,0.00667,0.57143,0.02344,0.00557,0,0,0,0,3.48292,11.0768,0.64733,3.72042,4.10162,9.5232e-05,9.5232e-05,9.5232e-05
98,275.1,2.57461,8.86647,0.74666,3.86055,3.59185,0.00667,0.57143,0.02344,0.00557,0,0,0,0,3.48292,11.0768,0.64733,3.72042,4.10162,7.7018e-05,7.7018e-05,7.7018e-05
99,277.112,2.99499,8.76988,0.77651,4.08594,3.59756,0.00667,0.57143,0.02344,0.00557,0,0,0,0,3.48292,11.0768,0.64733,3.72042,4.10162,5.8408e-05,5.8408e-05,5.8408e-05
100,280.638,2.20834,8.52812,0.66814,3.55166,3.43919,0.00583,0.5,0.02302,0.00582,0,0,0,0,3.47936,11.0759,0.6473,3.71958,4.09461,3.9402e-05,3.9402e-05,3.9402e-05
